Year,REF_AREA,birth_rate,fertility,emp_rate,20-,20-64,65+,Alcohol_Tobacco,Clothing_Footwear,Communication,Education,Food,Health,Household_Goods,Housing_Utilities,Other_Services,Recreation_Culture,Restaurants_Hotels,Transport,gov_spending,"Couple, 2 children","Couple, no children","Single person, no children"
2004,ITA,9.765,1.34,61.43,19.08,61.57,19.35,4.18,6.98,3.16,0.93,14.94,3.23,7.07,19.73,10.06,7.23,8.87,13.63,1.213,22.96,26.35,28.51
2004,PRT,10.436,1.4,72.42,21.77,61.17,17.06,3.58,6.52,3.26,1.42,16.6,4.58,6.29,13.92,11.02,7.09,10.67,15.03,1.164,15.71,19.6,21.86
2004,HUN,9.404,1.28,62.08,22.06,62.38,15.56,6.74,3.62,3.99,1.8,17.09,3.87,6.72,18.63,8.31,8.41,6.0,14.82,2.951,21.56,30.37,34.4
2004,DNK,11.97,1.78,77.68,24.37,60.65,14.98,4.26,4.39,2.19,0.73,11.37,2.71,5.45,26.65,12.67,11.89,5.23,12.46,3.566,32.95,36.99,38.61
2004,NLD,11.933,1.72,72.5,24.49,61.57,13.94,2.98,5.25,4.5,0.67,10.28,4.87,5.99,19.84,14.93,10.77,7.05,13.11,1.63,28.05,31.93,32.55
2004,GBR,11.94,1.48,74.56,24.7,59.37,15.93,3.96,5.09,2.59,1.05,8.03,1.56,5.14,25.13,12.44,10.72,10.36,13.79,2.875,21.56,25.61,26.83
2004,LTU,8.758,1.27,69.33,25.13,59.25,15.62,7.52,6.3,2.89,0.72,27.13,4.11,5.74,14.65,6.67,7.27,2.9,14.1,1.121,22.32,25.96,27.62
2004,FRA,12.824,1.92,69.07,25.31,58.43,16.26,3.78,4.98,3.3,0.37,13.44,3.87,5.46,23.56,11.93,9.39,6.64,13.96,3.017,21.41,27.0,28.63
2004,POL,9.325,1.23,57.08,24.94,62.01,13.05,7.09,4.9,3.2,1.44,22.16,4.23,4.27,21.4,10.06,6.34,2.68,12.22,1.225,27.53,27.53,28.08
2005,POL,9.545,1.24,58.03,24.14,62.66,13.21,7.13,4.73,3.36,1.29,22.21,4.05,4.34,22.38,9.94,6.06,2.65,11.86,1.205,27.84,27.84,28.38
2005,FRA,12.843,1.94,68.93,25.2,58.46,16.33,3.62,4.82,3.32,0.36,13.09,3.89,5.45,23.98,11.92,9.3,6.64,14.19,2.941,21.67,27.2,28.87
2005,LTU,8.795,1.29,70.65,24.47,59.47,16.06,7.02,7.81,2.56,0.77,25.42,5.03,5.92,14.63,7.17,6.95,2.77,13.96,1.722,21.25,26.91,28.41
2005,GBR,11.957,1.48,74.76,24.51,59.58,15.92,3.9,5.02,2.54,1.06,7.87,1.51,5.05,25.33,12.97,10.45,10.31,14.04,2.838,22.71,25.64,26.85
2005,NLD,11.524,1.71,72.96,24.4,61.45,14.15,2.9,5.13,4.43,0.61,9.96,4.98,5.85,20.46,15.1,10.67,7.05,13.13,1.589,28.33,32.29,32.51
2005,DNK,11.879,1.8,78.18,24.48,60.42,15.11,4.11,4.3,2.08,0.72,10.96,2.69,5.38,26.32,12.87,11.94,5.28,13.37,3.491,32.84,36.91,38.49
2005,HUN,9.655,1.31,62.23,21.78,62.51,15.7,6.7,3.38,4.18,1.64,16.35,3.97,6.17,18.75,8.72,8.58,6.18,15.38,2.997,20.6,29.08,33.65
2005,PRT,10.424,1.41,72.21,21.53,61.2,17.27,3.49,6.38,3.23,1.44,15.88,4.58,6.33,14.24,11.13,7.27,10.59,15.44,1.182,15.06,18.92,21.21
2005,ITA,9.545,1.34,61.44,19.05,61.29,19.66,4.22,6.84,3.11,0.92,14.72,3.11,7.03,20.13,10.37,6.92,8.82,13.8,1.2,22.43,26.21,28.01
2005,SVN,9.089,1.26,71.08,20.41,64.12,15.47,4.97,5.46,3.52,1.12,14.65,3.49,5.96,19.11,9.25,10.88,6.55,15.05,1.925,23.49,32.92,34.72
2005,FIN,11.027,1.8,73.0,23.45,60.61,15.94,5.29,4.82,2.79,0.43,11.99,4.31,5.3,24.27,9.1,11.63,6.72,13.35,2.835,23.82,28.53,31.05
2005,AUT,9.534,1.41,70.4,21.95,61.82,16.24,3.47,6.25,2.71,0.79,10.05,3.82,6.85,20.8,10.71,9.85,11.29,13.42,2.908,22.6,30.55,33.04
2005,NOR,12.321,1.84,78.15,26.0,59.29,14.71,4.47,5.54,3.2,0.37,12.99,2.98,5.99,21.01,9.86,12.89,5.62,15.08,2.78,24.0,27.68,29.02
2005,IRL,14.926,1.86,73.88,27.73,61.17,11.1,6.4,4.91,3.39,1.36,9.3,3.21,6.45,19.73,12.29,7.86,13.41,11.69,2.555,12.6,17.85,22.83
2005,EST,10.56,1.52,71.5,22.75,60.53,16.72,8.2,6.59,3.06,1.11,18.91,3.1,5.04,17.85,7.98,9.11,6.97,12.08,1.738,14.44,18.82,19.8
2005,CHE,9.832,1.42,79.91,22.01,62.09,15.9,4.23,2.76,2.43,0.83,9.21,13.69,3.84,23.77,10.72,9.13,9.55,9.83,1.407,12.22,17.57,17.51
